variable,n_samples,r2_v267,r2_v214,r2_v267_se,r2_v214_se,r2_v267_ci_low,r2_v267_ci_high,r2_v214_ci_low,r2_v214_ci_high
IW: K (mM) 766.5 nm ICPAES ,186,0.5854530173073214,0.8532043394561953,0.04651503009841084,0.019884435618167273,0.4942835583144361,0.6766224763002066,0.8142308456445875,0.8921778332678032
IW: K (mM) 769.9 nm ICPAES ,183,0.6221810288002834,0.7849998928125019,0.044060213195807704,0.028162935851369416,0.5358230109365003,0.7085390466640664,0.7298005385438179,0.840199247081186
IW: K (mM) IC ,1578,0.5448773600661848,0.5748931341812313,0.016914311236086634,0.016228118729136667,0.511725310043455,0.5780294100889146,0.5430860214721235,0.6067002468903392
IW: K (mM) ICPAES ,278,0.0179092112200461,0.1602953355018349,0.015765126674397348,0.04032687840900368,-0.012990437061772702,0.04880885950186491,0.08125465382018768,0.2393360171834821
IW: K 766.491 nm ICPAES ,103,0.574963094642901,0.5786751401841852,0.0635123246471091,0.0631605467795378,0.45047893833456715,0.6994472509512348,0.45488046849629116,0.7024698118720792
IW: K 766.5 nm ICPAES ,178,-0.5066353059839945,-0.10667100794681,0.014840727442118057,0.014840727442118057,-0.535723131770546,-0.47754748019744314,-0.1357588337333614,-0.07758318216025861
IW: K 769.9 nm ICPAES ,250,0.4230654449482035,0.6733848501688653,0.04746683995593247,0.033902208256516936,0.3300304386345758,0.5161004512618311,0.606936521986092,0.7398331783516385
IW: Li (uM) 670.783 nm ICPAES ,118,0.5602706909065103,0.4946897763824616,0.06060010232498639,0.06543551798882524,0.44149449034953697,0.6790468914634836,0.3664361611243641,0.6229433916405591
IW: Li (uM) 670.8 nm ICPAES ,469,0.4998604783433386,0.628228431600869,0.032655711376866944,0.027213132832933275,0.4358552840446794,0.5638656726419978,0.5748906912483198,0.6815661719534183
IW: Li (uM) ICPAES ,299,0.0593106230296096,0.1389625316067523,0.026497621011584226,0.03712490154585772,0.007375285846904521,0.11124596021231467,0.06619772457687115,0.21172733863663343
IW: Li 670.8 nm ICPAES ,311,-0.1041544369652287,0.0889129075443116,0.011227549947050105,0.030810028587164126,-0.1261604348614469,-0.0821484390690105,0.028525251513469907,0.14930056357515328
