variable,n_samples,n_used,r2_v267,r2_v214
MAD: Mass salt (g),12113,12113,0.5424730583746161,0.6297818879708552
MAD: Mass solids (g),12113,12113,0.5259515119393651,0.5789645486552678
MAD: Mass wet sample (g),12113,12113,0.34612500413507574,0.4209247701300819
MAD: Moisture dry (wt%),12113,12113,0.6033324770982396,0.6911347491340212
MAD: Moisture wet (wt%),12113,12113,0.6818072076044016,0.762593219135164
MAD: Porosity (vol%),12112,12112,0.6892643265915863,0.7537452983537009
MAD: Void ratio,12113,12113,0.658557546669333,0.7382433886186912
MAD: Vol dried sample (cm^3),12113,12113,0.47883195018696667,0.5403800491619609
MAD: Vol porewater (cm^3),12113,12113,0.5410544062293114,0.6248494760920327
MAD: Vol salt (cm^3),12113,12113,0.5419060521420518,0.6296785649540608
MAD: Vol solids (cm^3),12113,12113,0.4883469829222613,0.5461175627250081
MAD: Vol wet sample (cm^3),12113,12113,0.32234698916690063,0.4151635945580364
PEN: Compressional strength (kg/cm^2),1731,1731,0.5688195513383737,0.5722921696384695
PWB: Caliper separation (mm),1896,1896,0.7483935683456175,0.7681683235644239
PWB: P-wave velocity y (m/s),342,342,-0.14559401706508268,0.08290282251700531
PWB: P-wave velocity y [manual] (m/s),314,314,0.2751429016610517,0.20659281580428446
PWB: P-wave velocity z (m/s),1462,1462,0.36001674621317337,0.3035703949948304
PWB: P-wave velocity z [manual] (m/s),1139,1139,0.24219240709445322,0.3838085480777581
PWB: Sonic traveltime (microsecond),1896,1896,-616.0624573808276,-346.98063911299266
PWB: Sonic traveltime [manual] (microsecond),1455,1455,-0.15402623457083808,-0.06966526328856637
PWC: Caliper separation (mm),12386,12386,0.32197750397334224,0.3771730291072153
PWC: P-wave velocity x (m/s),9290,9290,-0.0004119725575602029,-5.436800810376674e-05
PWC: P-wave velocity x [manual] (m/s),6494,6494,-0.17053699822178592,-1.9784434803068462
PWC: Sonic traveltime (microsecond),12372,12372,-0.24073483628482717,-0.28565129863364147
PWC: Sonic traveltime [manual] (microsecond),6508,6508,0.7116194757033982,0.755642760322203
SRMD: Declination background & drift corrected (deg),18823,18823,0.474685386250699,0.47306975539824425
SRMD: Declination raw (deg),18823,18823,0.4751181223521609,0.48115036306469294
SRMD: Demag level (mT),10927,10927,0.2764181884584419,0.27424661751052126
SRMD: Inclination background & drift corrected (deg),18823,18823,0.43035293343082603,0.42812323985104017
SRMD: Inclination raw (deg),18823,18823,0.42003640016522603,0.4206170155748604
SRMD: Intensity background & drift corrected (A/m),18823,18823,0.4655723102246483,0.46420784395080195
SRMD: Intensity raw (A/m),18823,18823,0.45199963132280907,0.44952903591753324
SRMD: Magnetic moment x (Am^2),18823,18823,0.3844560298579002,0.3834702609062415
SRMD: Magnetic moment y (Am^2),18823,18823,0.5186309699340028,0.5187674872086945
SRMD: Magnetic moment z (Am^2),18823,18823,0.29891457646028197,0.30069978352464455
SRMD: Raw data,18702,18702,0.9783930807144604,0.9911558514177811
SRMD: Sample length (cm),10927,10927,0.9971750524740112,0.9972193383303457
SRMD: Sample volume (cm^3),9628,9628,0.9847456511588631,0.9876076478299947
SRMD: Treatment Value (mT or deg-C),9908,9908,0.36994687851945496,0.3677647530169902
TCON: Calculated TCON value (W/(m*K)),5674,5674,-0.0008818341839260668,-0.0008818341806691166
TCON: Conductivity std dev (W/(m*K)),15061,15061,0.9991375519773726,0.9993264697956282
TCON: Measurements (no),15084,15084,0.8091587004151255,0.8463567577109498
TCON: Thermal conductivity mean (W/(m*K)),15084,15084,0.998612990313478,0.9988192081324677
TCON: Thermal conductivity observations (W/(m*K)),15327,15327,-2.966030279203926e+16,-2.9652030431517772e+16
TOR: Adapter foot identifier,521,521,0.3235820490227901,0.3226443989203456
TOR: Torvane shear strength (kg/cm^2),522,522,0.7075304700000307,0.6815557134706871
